ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Meaning,Sense_ID,Entry_ID
Gothic-550-lieb-1,268,Gothic,550-lieb,liufs*,liufs,l ɪ u ɸ s,,557564,,,^ liufs $,default,lieb,lieb-1,1894-liufs
Gothic-412-tod-1,269,Gothic,412-tod,dauþus,dauþus,d ɔ θ u s,,557564,,,^ dauþus $,default,Tod,Tod-1,634-dauus
Gothic-980-schmucken-1,272,Gothic,980-schmucken,fetjan,fetjan,ɸ e t j a n,,557564,,,^ fetjan $,default,schmücken,schmucken-1,800-fetjan
Gothic-713-abnehmen-1,273,Gothic,713-abnehmen,minznan,minznan,m ɪ n z n a n,,557564,,,^ minznan $,default,abnehmen,abnehmen-1,2095-minznan
Gothic-713-abnehmen-2,274,Gothic,713-abnehmen,af-niman,afniman,a ɸ n ɪ m a n,,557564,,,^ afniman $,default,wegnehmen; abnehmen,abnehmen-2,2207-afniman
Gothic-929-verteidigen-1,275,Gothic,929-verteidigen,warjan,warjan,w a r j a n,,557564,,,^ warjan $,default,wehren,wehren-1,3466-warjan
Gothic-416-gott-1,276,Gothic,416-gott,guþ,guþ,ɡ u θ,,557564,,,^ guþ $,default,Gott,Gott-1,1226-gu
Gothic-896-zerstoren-1,278,Gothic,896-zerstoren,brikan,brikan,b r ɪ k a n,,557564,,,^ brikan $,default,brechen;  zerstören,zerstoren-1,563-brikan
Gothic-896-zerstoren-2,279,Gothic,896-zerstoren,ga-tairan,gatairan,ɡ a t ɛ r a n,,557564,,,^ gatairan $,default,zerstören;  aufheben; zerreißen,zerstoren-2,2901-gatairan
Gothic-549-geschickt-1,280,Gothic,549-geschickt,fagrs*,fagrs,ɸ a ɣ r̥ s,,557564,,,^ fagrs $,default,geschickt;  geeignet,geschickt-1,726-fagrs
Gothic-750-sterben-1,281,Gothic,750-sterben,ga-dauþnan,gadauþnan,ɡ a ð ɔ θ n a n,,557564,,,^ gadauþnan $,default,sterben,sterben-1,630-gadaunan
Gothic-750-sterben-2,282,Gothic,750-sterben,diwan,diwan,d ɪ w a n,,557564,,,^ diwan $,default,sterben,sterben-2,652-diwan
Gothic-751-umkommen-1,284,Gothic,751-umkommen,fra-qistnan,fraqistnan,ɸ r a kʷ ɪ s t n a n,,557564,,,^ fraqistnan $,default,umkommen;  zugrunde gehn,umkommen-1,2305-fraqistnan
Gothic-573-verschieden-1,285,Gothic,573-verschieden,aljaleiko,aljaleiko,a l j a l i k o,,557564,,,^ aljaleiko $,default,anders,anders-1,196-aljaleiko
Gothic-573-verschieden-2,289,Gothic,573-verschieden,missaleiks,missaleiks,m ɪ sː a l i k s,,557564,,,^ missaleiks $,default,verschieden,verschieden-1,2097-missaleiks
Gothic-840-graben-1,290,Gothic,840-graben,graban,graban,ɡ r a β a n,,557564,,,^ graban $,default,graben,graben-1,1188-graban
Gothic-394-krankheit-1,295,Gothic,394-krankheit,sauhts*,sauhts,s ɔ h t s,,557564,,,^ sauhts $,default,Krankheit,Krankheit-1,2506-sauhts
Gothic-394-krankheit-2,296,Gothic,394-krankheit,siukei,siukei,s ɪ u k i,,557564,,,^ siukei $,default,Krankheit,Krankheit-2,2586-siukei
Gothic-342-geschirr-1,299,Gothic,342-geschirr,mats,mats,m a t s,,557564,,,^ mats $,default,Speise,Speise-1,2030-mats
Gothic-881-teilen-1,303,Gothic,881-teilen,dailjan,dailjan,d ɛ l j a n,,557564,,,^ dailjan $,default,teilen;  zuteilen;  mitteilen,teilen-1,591-dailjan
Gothic-812-tun-1,304,Gothic,812-tun,taujan,taujan,t ɔ j a n,,557564,,,^ taujan $,default,tun;  machen,tun-1,2917-taujan
Gothic-812-tun-2,305,Gothic,812-tun,waurstwei,waurstwei,w ɔ r s t w i,,557564,,,^ waurstwei $,default,das Tun,dasTun-1,3488-waurstwei
Gothic-139-hund-1,306,Gothic,139-hund,hunds,hunds,h u n d s,,557564,,,^ hunds $,default,Hund,Hund-1,1471-hunds
Gothic-900-schenken-1,308,Gothic,900-schenken,fra-giban,fragiban,ɸ r a ɣ ɪ β a n,,557564,,,^ fragiban $,default,vergeben;  verleihn;  schenken,schenken-1,1164-fragiban
Gothic-318-tur-1,309,Gothic,318-tur,daurons,daurons,d ɔ r o n s,,557564,,,^ daurons $,default,Tor;  Tür,Tur-1,624-daurons
Gothic-318-tur-2,310,Gothic,318-tur,haurds,haurds,h ɔ r d s,,557564,,,^ haurds $,default,Tür,Tur-2,1336-haurds
Gothic-616-hinab-1,311,Gothic,616-hinab,dalaþ,dalaþ,d a l a θ,,557564,,,^ dalaþ $,default,zu Tal;  abwärts;  nieder;  auf die Erde,abwarts-1,599-dala
Gothic-736-trinken-1,316,Gothic,736-trinken,ga-drigkan,gadrigkan,ɡ a ð r ɪ ŋ k a n,,557564,,,^ gadrigkan $,default,trinken,trinken-1,679-gadrigkan
Gothic-771-fahren-1,317,Gothic,771-fahren,farjan,farjan,ɸ a r j a n,,557564,,,^ farjan $,default,fahren,fahren-1,766-farjan
Gothic-953-treiben-1,319,Gothic,953-treiben,dreiban,dreiban,d r i β a n,,557564,,,^ dreiban $,default,treiben,treiben-2,675-dreiban
Gothic-67-staub-1,325,Gothic,67-staub,mulda,mulda,m u l d a,,557564,,,^ mulda $,default,Staub,Staub-1,2126-mulda
Gothic-67-staub-2,326,Gothic,67-staub,stubjus,stubjus,s t u β j u s,,557564,,,^ stubjus $,default,Staub,Staub-2,2792-stubjus
Gothic-945-wohnen-1,327,Gothic,945-wohnen,bauan,bauan,b ɔ a n,,557564,,,^ bauan $,default,wohnen;  bewohnen,wohnen-1,472-bauan
Gothic-2-ohr-1,331,Gothic,2-ohr,auso,auso,ɔ s o,,557564,,,^ auso $,default,Ohr,Ohr-1,384-auso
Gothic-66-erde-1,332,Gothic,66-erde,airþa,airþa,ɛ r θ a,,557564,,,^ airþa $,default,Erde;  Land,Erde-1,133-aira
Gothic-737-essen-1,334,Gothic,737-essen,itan,itan,ɪ t a n,,557564,,,^ itan $,default,essen,essen-1,1602-itan
Gothic-737-essen-2,335,Gothic,737-essen,matjan,matjan,m a t j a n,,557564,,,^ matjan $,default,essen,essen-2,2028-matjan
Gothic-660-acht-1,339,Gothic,660-acht,ahtau,ahtau,a h t ɔ,,557564,,,^ ahtau $,default,acht,acht-1,72-ahtau
Gothic-671-achtzig-1,340,Gothic,671-achtzig,ahtautehund,ahtautehund,a h t ɔ t e h u n d,,557564,,,^ ahtautehund $,default,achtzig,achtzig-1,74-ahtautehund
Gothic-663-elf-1,343,Gothic,663-elf,ainlif*,ainlif,ɛ n l ɪ ɸ,,557564,,,^ ainlif $,default,elf,elf-1,112-ainlif
Gothic-511-leer-1,347,Gothic,511-leer,laus,laus,l ɔ s,,557564,,,^ laus $,default,leer; los,leer-2,1820-laus
Gothic-276-ende-1,348,Gothic,276-ende,andeis,andeis,a n d i s,,557564,,,^ andeis $,default,Ende,Ende-1,273-andeis
Gothic-276-ende-2,349,Gothic,276-ende,ustauhts,ustauhts,u s t ɔ h t s,,557564,,,^ ustauhts $,default,Ende;  Erfüllung; Vollendung;  Vervollkommnung,Ende-2,3348-ustauhts
Gothic-1016-ertragen-1,352,Gothic,1016-ertragen,ga-beidan,gabeidan,ɡ a β i ð a n,,557564,,,^ gabeidan $,default,ertragen; ausharren,ertragen-2,485-gabeidan
Gothic-1016-ertragen-2,353,Gothic,1016-ertragen,us-þulan,usþulan,u s θ u l a n,,557564,,,^ usþulan $,default,ertragen; erdulden,ertragen-3,3125-usulan
