ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Orthography,CV_Segments,ProsodicStructure,FB_Segments,FB_Vowel_Harmony,Year
EAH-30_toregrettobesorry-1,,EAH,30_toregrettobesorry,baγin,baγin,b a ɣ i n,,wot,31,true,^ baγin $,default,,b a ɣ i n,CVCVC,b a ɣ F n,True,1372
WOT-30_toregrettobesorry-1,,WOT,30_toregrettobesorry,bagïn,bagïn,b a ɡ ɯ n,,wot,31,false,^ bagïn $,default,,b a ɡ ɯ n,CVCVC,b a ɡ B n,True,1372
H-31_hairybushyofdogsabighairydogasnoun-1,,H,31_hairybushyofdogsabighairydogasnoun,bårāg,bårāg,b ɒ r aː ɡ,,wot,32,true,^ bårāg $,default,barág,b ɒ r aː ɡ,CVCVC,b B r aː ɡ,True,1521
EAH-31_hairybushyofdogsabighairydogasnoun-1,,EAH,31_hairybushyofdogsabighairydogasnoun,barag,barag,b a r a ɡ,,wot,32,true,^ barag $,default,,b a r a ɡ,CVCVC,b a r a ɡ,True,1521
H-32_labeltag-1,,H,32_labeltag,bārcå,bārcå,b aː r t͡s ɒ,,wot,33,true,^ bārcå $,default,bárca,b aː r.t͡s ɒ,CVCCV,b aː r t͡s B,True,1819
EAH-32_labeltag-1,,EAH,32_labeltag,bāsa,bāsa,b aː s a,,wot,33,true,^ bāsa $,default,,b aː s a,CVCV,b aː s a,True,1819
H-33_cattlelivestock-1,,H,33_cattlelivestock,bårom,bårom,b ɒ r o m,,wot,34,true,^ bårom $,default,barom,b ɒ r o m,CVCVC,b B r B m,True,1247
EAH-33_cattlelivestock-1,,EAH,33_cattlelivestock,barum,barum,b a r u m,,wot,34,true,^ barum $,default,,b a r u m,CVCVC,b a r B m,True,1247
WOT-33_cattlelivestock-1,,WOT,33_cattlelivestock,barum,barum,b a r u m,,wot,34,false,^ barum $,default,,b a r u m,CVCVC,b a r B m,True,1247
H-34_velvet-1,,H,34_velvet,bāršoń,bāršoń,b aː r ʃ o ɲ,,wot,35,true,^ bāršoń $,default,bársony,b aː r.ʃ o ɲ,CVCCVC,b aː r ʃ B ɲ,True,1221
OH-34_velvet-1,,OH,34_velvet,baršun,baršun,b a r ʃ u n,,wot,35,true,^ baršun $,default,,b a r.ʃ u n,CVCCVC,b a r ʃ B n,True,1221
EAH-34_velvet-1,,EAH,34_velvet,barčun,barčun,b a r t͡ʃ u n,,wot,35,true,^ barčun $,default,,b a r.t͡ʃ u n,CVCCVC,b a r t͡ʃ B n,True,1221
WOT-34_velvet-1,,WOT,34_velvet,barčun,barčun,b a r t͡ʃ u n,,wot,35,false,^ barčun $,default,,b a r.t͡ʃ u n,CVCCVC,b a r t͡ʃ B n,True,1221
H-35_tofuck-1,,H,35_tofuck,båsik,båsik,b ɒ s i k,,wot,36,true,^ båsik $,default,baszik,b ɒ s i k,CVCVC,b B s F k,False,1213
EAH-35_tofuck-1,,EAH,35_tofuck,bas,bas,b a s,,wot,36,true,^ bas $,default,,b a s,CVC,b a s,True,1213
WOT-35_tofuck-1,,WOT,35_tofuck,bas,bas,b a s,,wot,36,true,^ bas $,default,,b a s,CVC,b a s,True,1213
H-36_courageousbravevaliant-1,,H,36_courageousbravevaliant,bātor,bātor,b aː t o r,,wot,37,true,^ bātor $,default,bátor,b aː t o r,CVCVC,b aː t B r,True,1138
EAH-36_courageousbravevaliant-1,,EAH,36_courageousbravevaliant,baγatur,baγatur,b a ɣ a t u r,,wot,37,true,^ baγatur $,default,,b a ɣ a t u r,CVCVCVC,b a ɣ a t B r,True,1138
WOT-36_courageousbravevaliant-1,,WOT,36_courageousbravevaliant,baγatur,baγatur,b a ɣ a t u r,,wot,37,true,^ baγatur $,default,,b a ɣ a t u r,CVCVCVC,b a ɣ a t B r,True,1138
H-37_toestimatetoesteemtoappreciate-1,,H,37_toestimatetoesteemtoappreciate,bëčül,bëčül,b e t͡ʃ y l,,wot,38,true,^ bëčül $,default,bëcsül,b e t͡ʃ y l,CVCVC,b F t͡ʃ F l,True,1416
EAH-37_toestimatetoesteemtoappreciate-1,,EAH,37_toestimatetoesteemtoappreciate,bečel,bečel,b ɛ t͡ʃ ɛ l,,wot,38,true,^ bečel $,default,,b ɛ t͡ʃ ɛ l,CVCVC,b F t͡ʃ F l,True,1416
WOT-37_toestimatetoesteemtoappreciate-1,,WOT,37_toestimatetoesteemtoappreciate,bičil,bičil,b i t͡ʃ i l,,wot,38,false,^ bičil $,default,,b i t͡ʃ i l,CVCVC,b F t͡ʃ F l,True,1416
H-38_frog-1,,H,38_frog,bēkå,bēkå,b eː k ɒ,,wot,39,true,^ bēkå $,default,béka,b eː k ɒ,CVCV,b F k B,False,1295
EAH-38_frog-1,,EAH,38_frog,baka,baka,b a k a,,wot,39,true,^ baka $,default,,b a k a,CVCV,b a k a,True,1295
WOT-38_frog-1,,WOT,38_frog,baka,baka,b a k a,,wot,39,true,^ baka $,default,,b a k a,CVCV,b a k a,True,1295
H-40_hobbleshacklelegiron-1,,H,40_hobbleshacklelegiron,bēkō,bēkō,b eː k oː,,wot,40,true,^ bēkō $,default,békó,b eː k oː,CVCV,b F k B,False,1395
EAH-40_hobbleshacklelegiron-1,,EAH,40_hobbleshacklelegiron,bikaγu,bikaγu,b i k a ɣ u,,wot,40,true,^ bikaγu $,default,,b i k a ɣ u,CVCVCV,b F k a ɣ B,False,1395
WOT-40_hobbleshacklelegiron-1,,WOT,40_hobbleshacklelegiron,bïkaγu,bïkaγu,b ɯ k a ɣ u,,wot,40,true,^ bïkaγu $,default,,b ɯ k a ɣ u,CVCVCV,b B k a ɣ B,True,1395
H-40_hobbleshacklelegiron-2,,H,40_hobbleshacklelegiron,bēklʹō,bēklʹō,b eː k j oː,,wot,41,true,^ bēklʹō $,default,béklyó,b eː k.j oː,CVCCV,b F k j B,False,1395
EAH-40_hobbleshacklelegiron-2,,EAH,40_hobbleshacklelegiron,bikaγu,bikaγu,b i k a ɣ u,,wot,41,true,^ bikaγu $,default,,b i k a ɣ u,CVCVCV,b F k a ɣ B,False,1395
WOT-40_hobbleshacklelegiron-2,,WOT,40_hobbleshacklelegiron,bïkaγu,bïkaγu,b ɯ k a ɣ u,,wot,41,true,^ bïkaγu $,default,,b ɯ k a ɣ u,CVCVCV,b B k a ɣ B,True,1395
H-41_stampbondmark-1,,H,41_stampbondmark,bēlʹeg,bēlʹeg,b eː j ɛ ɡ,,wot,42,true,^ bēlʹeg $,default,bélyeg,b eː j ɛ ɡ,CVCVC,b F j F ɡ,True,1263
OH-41_stampbondmark-1,,OH,41_stampbondmark,bēlʹeg,bēlʹeg,b eː j ɛ ɡ,,wot,42,true,^ bēlʹeg $,default,,b eː j ɛ ɡ,CVCVC,b F j F ɡ,True,1263
EAH-41_stampbondmark-1,,EAH,41_stampbondmark,beleg,beleg,b ɛ l ɛ ɡ,,wot,42,true,^ beleg $,default,,b ɛ l ɛ ɡ,CVCVC,b F l F ɡ,True,1263
WOT-41_stampbondmark-1,,WOT,41_stampbondmark,bäläg,bäläg,b ɛ l ɛ ɡ,,wot,42,true,^ bäläg $,default,,b ɛ l ɛ ɡ,CVCVC,b F l F ɡ,True,1263
H-42_wagerent-1,,H,42_wagerent,bēr,bēr,b eː r,,wot,43,true,^ bēr $,default,bér,b eː r,CVC,b F r,True,1121
EAH-42_wagerent-1,,EAH,42_wagerent,bērü,bērü,b eː r y,,wot,43,true,^ bērü $,default,,b eː r y,CVCV,b F r F,True,1121
WOT-42_wagerent-1,,WOT,42_wagerent,berü,berü,b ɛ r y,,wot,43,true,^ berü $,default,,b ɛ r y,CVCV,b F r F,True,1121
H-43_nameofapeople-1,,H,43_nameofapeople,bercel,bercel,b ɛ r t͡s ɛ l,,wot,44,true,^ bercel $,default,bercel,b ɛ r.t͡s ɛ l,CVCCVC,b F r t͡s F l,True,1238
OH-43_nameofapeople-1,,OH,43_nameofapeople,bercel,bercel,b ɛ r t͡s ɛ l,,wot,44,true,^ bercel $,default,,b ɛ r.t͡s ɛ l,CVCCVC,b F r t͡s F l,True,1238
EAH-43_nameofapeople-1,,EAH,43_nameofapeople,bersil,bersil,b ɛ r s i l,,wot,44,true,^ bersil $,default,,b ɛ r.s i l,CVCCVC,b F r s F l,True,1238
WOT-43_nameofapeople-1,,WOT,43_nameofapeople,Bärsil,Bärsil,b ɛ r s i l,,wot,44,false,^ Bärsil $,default,,b ɛ r.s i l,CVCCVC,b F r s F l,True,1238
